source,text,created_at,is_retweet,id_str
Twitter for iPhone,.@cindyhydesmith loves Mississippi and our Great U.S.A. https://t.co/hQPC4CrhDi,11-19-2018 14:30:37,false,1064526362994778113
Twitter for iPhone,From day one Rick Scott never wavered. He was a great Governor and will be even a greater Senator in representing the People of Florida. Congratulations to Rick on having waged such a courageous and successful campaign!,11-18-2018 19:59:41,false,1064246787161145346
Twitter for iPhone,Catch and Release is an obsolete term. It is now Catch and Detain. Illegal Immigrants trying to come into the U.S.A. often proudly flying the flag of their nation as they ask for U.S. Asylum will be detained or turned away. Dems must approve Border Security &amp; Wall NOW!,11-18-2018 19:55:24,false,1064245710747590657
Twitter for iPhone,The Mayor of Tijuana Mexico just stated that “the City is ill-prepared to handle this many migrants the backlog could last 6 months.” Likewise the U.S. is ill-prepared for this invasion and will not stand for it. They are causing crime and big problems in Mexico. Go home!,11-18-2018 18:42:59,false,1064227483187318784
Twitter for iPhone,So funny to see little Adam Schitt (D-CA) talking about the fact that Acting Attorney General Matt Whitaker was not approved by the Senate but not mentioning the fact that Bob Mueller (who is highly conflicted) was not approved by the Senate!,11-18-2018 18:01:09,false,1064216956679716864
Twitter for iPhone,I will be interviewed by Chris Wallace on @FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!,11-18-2018 17:30:30,false,1064209246114459648
Twitter for iPhone,Incredible to be with our GREAT HEROES today in California. We will always be with you! https://t.co/B1MCTF83Zf,11-18-2018 02:48:00,false,1063987157650485249
Twitter for iPhone,Heading to California with @GOPLeader Kevin McCarthy @RepLaMalfa and @KenCalvert. Look forward to being with our brave Firefighters First Responders and @FEMA along with the many brave People of California. We are with you all the way – God Bless you all!,11-17-2018 16:47:07,false,1063835936604090368
Twitter for iPhone,....I can’t imagine any President having a better or closer relationship with their Vice President then the two of us. Just more FAKE NEWS the Enemy of the People!,11-17-2018 16:42:20,false,1063834733430206465
Twitter for iPhone,The New York Times did a phony story as usual about my relationship with @VP Mike Pence. They made up sources and refused to ask me the only one that would know for a quote....,11-17-2018 16:42:19,false,1063834729584054272
Twitter for iPhone,Congratulations to Andrew Gillum on having run a really tough and competitive race for Governor of the Great State of Florida. He will be a strong Democrat warrior long into the future - a force to reckon with!,11-17-2018 16:39:20,false,1063833980720504832
Twitter for iPhone,I can get Nancy Pelosi as many votes as she wants in order for her to be Speaker of the House. She deserves this victory she has earned it - but there are those in her party who are trying to take it away. She will win! @TomReedCongress,11-17-2018 11:37:51,false,1063758107229257728
Twitter for iPhone,Thank you @JerryBrownGov. Look forward to joining you and @GavinNewsom tomorrow in California. We are with you! https://t.co/UuXWAadmov,11-17-2018 03:14:02,false,1063631319739953152
Twitter for iPhone,....their country’s flag. Can this be possible? Yes because it is all a BIG CON and the American taxpayer is paying for it!,11-17-2018 00:43:36,false,1063593459695669254
Twitter for iPhone,Isn’t it ironic that large Caravans of people are marching to our border wanting U.S.A. asylum because they are fearful of being in their country - yet they are proudly waving....,11-17-2018 00:43:35,false,1063593456579354624
Twitter for iPhone,Congratulations to Brian Kemp on becoming the new Governor of Georgia. Stacey Abrams fought brilliantly and hard - she will have a terrific political future! Brian was unrelenting and will become a great Governor for the truly Wonderful People of Georgia!,11-17-2018 00:37:46,false,1063591994738515968
Twitter for iPhone,Congratulations to Ron DeSantis on becoming the new Governor of Florida. Against all odds he fought &amp; fought &amp; fought the result being a historic victory. He never gave up and never will. He will be a great Governor!,11-17-2018 00:36:44,false,1063591735169871872
Twitter for iPhone,PRESIDENTIAL MEDAL OF FREEDOM https://t.co/Mgeg4wijTk,11-16-2018 21:47:55,false,1063549250250960897
Twitter for iPhone,People are not being told that the Republican Party is on track to pick up two seats in the U.S. Senate and epic victory: 53 to 47. The Fake News Media only wants to speak of the House where the Midterm results were better than other sitting Presidents.,11-16-2018 19:41:57,false,1063517548258447361
Twitter for iPhone,Today in the East Room of the @WhiteHouse it was my true privilege to award seven extraordinary Americans with the Presidential Medal of Freedom...https://t.co/TuEy635mav,11-16-2018 19:35:59,false,1063516048647995394
Twitter for iPhone,People are not being told that the Republican Party is on track to pick up two seats in the U.S. Senate and epic victory: 53 to 47. The Fake News Media only wants to speak of the House were the Midterm results were better than other sitting Presidents.,11-16-2018 19:35:28,false,1063515915583655936
Twitter for iPhone,It is our sacred duty to support America’s Service Members every single day they wear the uniform – and every day after when they return home as Veterans. Together we will HONOR those who defend us we will CHERISH those who protect us and we will celebrate the amazing heroes... https://t.co/kovcIj4fwU,11-15-2018 20:43:42,false,1063170699500642304
Twitter for iPhone,Last year I signed the landmark VA Accountability Act to ensure those who mistreat our Veterans can be held fully accountable. Since my inauguration we have removed more than 3600 government employees who were not giving our Vets the care they deserve.... https://t.co/KqWXXt7D4U,11-15-2018 20:39:51,false,1063169733535678464
Twitter for iPhone,It was my great honor to host a @WhiteHouse Conference on Supporting Veterans &amp; Military Families...To everyone here today who has served our Country in uniform &amp; to every Veteran &amp; Military family across our land I want to express the eternal gratitude of our entire Nation! https://t.co/MK8jUaTGFK,11-15-2018 20:34:20,false,1063168341941063680
Twitter Media Studio,.@FLOTUS Melania and I were honored to visit with our GREAT U.S. MARINES at the Marine Barracks here in Washington D.C. We love you @USMC @MBWDC! https://t.co/ASWmDZrDRK https://t.co/xYrPw9zzVv,11-15-2018 20:08:32,false,1063161848952836096
Twitter for iPhone,The only “Collusion” is that of the Democrats with Russia and many others. Why didn’t the FBI take the Server from the DNC? They still don’t have it. Check out how biased Facebook Google and Twitter are in favor of the Democrats. That’s the real Collusion!,11-15-2018 14:59:28,false,1063084073231544320
Twitter for iPhone,Universities will someday study what highly conflicted (and NOT Senate approved) Bob Mueller and his gang of Democrat thugs have done to destroy people. Why is he protecting Crooked Hillary Comey McCabe Lisa Page &amp; her lover Peter S and all of his friends on the other side?,11-15-2018 14:49:28,false,1063081553075625984
Twitter for iPhone,....care how many lives the ruin. These are Angry People including the highly conflicted Bob Mueller who worked for Obama for 8 years. They won’t even look at all of the bad acts and crimes on the other side. A TOTAL WITCH HUNT LIKE NO OTHER IN AMERICAN HISTORY!,11-15-2018 12:32:03,false,1063046973857718272
Twitter for iPhone,The inner workings of the Mueller investigation are a total mess. They have found no collusion and have gone absolutely nuts. They are screaming and shouting at people horribly threatening them to come up with the answers they want. They are a disgrace to our Nation and don’t...,11-15-2018 12:14:37,false,1063042585802039296
Twitter for iPhone,The White House is running very smoothly and the results for our Nation are obviously very good. We are the envy of the world. But anytime I even think about making changes the FAKE NEWS MEDIA goes crazy always seeking to make us look as bad as possible! Very dishonest!,11-15-2018 11:59:19,false,1063038733673525248
Twitter for iPhone,Our pledge to hire American includes those leaving prison and looking for a very fresh start — new job and new life. The legislation I am supporting today contains many significant reforms. Read more here: https://t.co/BwQ3qd9Fyk https://t.co/6DUY9KNTpR,11-14-2018 23:26:38,false,1062849316161753093
Twitter for iPhone,I am grateful to be here today w/ Members of the House &amp; Senate who have poured their time heart and energy into the crucial issue of Prison Reform. Working together w/ my Admin over the last two years these members have reached a bipartisan agreement...https://t.co/wflidv2cZr,11-14-2018 22:10:27,false,1062830145768165377
Twitter for iPhone,Just spoke to Governor Jerry Brown to let him know that we are with him and the people of California all the way!,11-14-2018 19:58:17,false,1062796884648120320
Twitter for iPhone,Was just briefed by @FEMA_Brock and @SecretaryZinke who are in California. Thank you to the great Firefighters First Responders and @FEMA for the incredible job they are doing w/ the California Wildfires. Our Nation appreciates your heroism courage &amp; genius. God Bless you all!,11-14-2018 19:35:22,false,1062791114716000258
Twitter for iPhone,Not seen in many years America’s steelworkers get a hard-earned raise because of my Administration’s policies to help bring back the U.S. steel industry which is critical to our National Security. I will always protect America and its workers!,11-14-2018 19:28:24,false,1062789364399390720
Twitter for iPhone,“Boom: Record high business optimism need for employees at 45-year high” https://t.co/jBFjEwAcfd,11-13-2018 21:35:42,false,1062459010660622339
Twitter for iPhone,It was my great honor to host a celebration of Diwali the Hindu Festival of Lights in the Roosevelt Room at the @WhiteHouse this afternoon. Very very special people! https://t.co/kQk7IvpSFo https://t.co/tYlBABg4JF,11-13-2018 21:20:48,false,1062455263247155200
Twitter for iPhone,Today we gathered for Diwali a holiday observed by Buddhists Sikhs and Jains throughout the United States &amp; around the world. Hundreds of millions of people have gathered with family &amp; friends to light the Diya and to mark the beginning of a New Year. https://t.co/epHogpTY1A https://t.co/9LUwnhngWJ,11-13-2018 21:03:38,false,1062450942707228672
Twitter for iPhone,Today we gathered for Diwali a holiday observed by Buddhists Sikhs and Jains throughout the United States &amp; around the world. Hundreds of millions of people have gathered with family &amp; friends to light the Diya and to mark the beginning of a New Year. https://t.co/a1QRfaPm37 https://t.co/LKRTr0nCQl,11-13-2018 20:33:18,false,1062443307052265478
Media Studio,We mourn for the lives lost and we pray for the victims of the California Wildfires. I want to thank the Firefighters and First Responders for their incredible courage in the face of grave danger.... https://t.co/3YQYZR8OzS,11-13-2018 19:38:45,false,1062429580521168896
Twitter for iPhone,The story in the New York Times concerning North Korea developing missile bases is inaccurate. We fully know about the sites being discussed nothing new - and nothing happening out of the normal. Just more Fake News. I will be the first to let you know if things go bad!,11-13-2018 17:07:45,false,1062391577807601664
